County,City
Tulare,Lindsay
Sutter,Live Oak
Alameda,Livermore
Merced,Livingston
San Joaquin,Lodi
San Bernardino,Loma Linda
Los Angeles,Lomita
Santa Barbara,Lompoc
Los Angeles,Long Beach
Placer,Loomis
Orange,Los Alamitos
Santa Clara,Los Altos
Santa Clara,Los Altos Hills
Los Angeles,Los Angeles
Merced,Los Banos
Santa Clara,Los Gatos
Sierra,Loyalton
Los Angeles,Lynwood
Madera,Madera
Mono,Mammoth Lakes
Los Angeles,Manhattan Beach
San Joaquin,Manteca
Kern,Maricopa
Monterey,Marina
Contra Costa,Martinez
Yuba,Marysville
Los Angeles,Maywood
Kern,McFarland
Fresno,Mendota
San Mateo,Menlo Park
Merced,Merced
Marin,Mill Valley
San Mateo,Millbrae
Santa Clara,Milpitas
Orange,Mission Viejo
Stanislaus,Modesto
Los Angeles,Monrovia
Siskiyou,Montague
San Bernardino,Montclair
Santa Clara,Monte Sereno
Los Angeles,Montebello
Monterey,Monterey
Los Angeles,Monterey Park
Ventura,Moorpark
Contra Costa,Moraga
Riverside,Moreno Valley
Santa Clara,Morgan Hill
San Luis Obispo,Morro Bay
Siskiyou,Mount Shasta
Santa Clara,Mountain View
Napa,Napa
San Diego,National City
San Bernardino,Needles
Nevada,Nevada City
Alameda,Newark
Stanislaus,Newman
Orange,Newport Beach
Riverside,Norco
Los Angeles,Norwalk
Marin,Novato
Stanislaus,Oakdale
Alameda,Oakland
San Diego,Oceanside
Ventura,Ojai
San Bernardino,Ontario
Orange,Orange
Fresno,Orange Cove
Contra Costa,Orinda
Glenn,Orland
Butte,Oroville
Ventura,Oxnard
Monterey,Pacific Grove
San Mateo,Pacifica
Riverside,Palm Desert
Riverside,Palm Springs
Los Angeles,Palmdale
Santa Clara,Palo Alto
Los Angeles,Palos Verdes Estates
Butte,Paradise
Los Angeles,Paramount
Fresno,Parlier
Los Angeles,Pasadena
San Luis Obispo,Paso Robles
Stanislaus,Patterson
Riverside,Perris
Sonoma,Petaluma
Los Angeles,Pico Rivera
Alameda,Piedmont
Contra Costa,Pinole
San Luis Obispo,Pismo Beach
Contra Costa,Pittsburg
Orange,Placentia
El Dorado,Placerville
Contra Costa,Pleasant Hill
Alameda,Pleasanton
Amador,Plymouth
Mendocino,Point Arena
Los Angeles,Pomona
Ventura,Port Hueneme
Tulare,Porterville
Plumas,Portola
San Mateo,Portola Valley
San Diego,Poway
San Bernardino,Rancho Cucamonga
Riverside,Rancho Mirage
Los Angeles,Rancho Palos Verdes
Tehama,Red Bluff
Shasta,Redding
San Bernardino,Redlands
Los Angeles,Redondo Beach
San Mateo,Redwood City
Fresno,Reedley
San Bernardino,Rialto
Contra Costa,Richmond
Kern,Ridgecrest
Humboldt,Rio Dell
Solano,Rio Vista
San Joaquin,Ripon
Stanislaus,Riverbank
Riverside,Riverside
Placer,Rocklin
Sonoma,Rohnert Park
Los Angeles,Rolling Hills
Los Angeles,Rolling Hills Estates
Los Angeles,Rosemead
Placer,Roseville
Marin,Ross
Sacramento,Sacramento
Monterey,Salinas
Marin,San Anselmo
San Bernardino,San Bernardino
San Mateo,San Bruno
San Mateo,San Carlos
Orange,San Clemente
San Diego,San Diego
Los Angeles,San Dimas
Los Angeles,San Fernando
San Francisco,San Francisco
Los Angeles,San Gabriel
Riverside,San Jacinto
Fresno,San Joaquin
Santa Clara,San Jose
San Benito,San Juan Bautista
Orange,San Juan Capistrano
Alameda,San Leandro
San Luis Obispo,San Luis Obispo
San Diego,San Marcos
Los Angeles,San Marino
San Mateo,San Mateo
Contra Costa,San Pablo
Marin,San Rafael
Contra Costa,San Ramon
Monterey,Sand City
Fresno,Sanger
Orange,Santa Ana
Santa Barbara,Santa Barbara
Santa Clara,Santa Clara
Los Angeles,Santa Clarita
Santa Cruz,Santa Cruz
Los Angeles,Santa Fe Springs
Santa Barbara,Santa Maria
Los Angeles,Santa Monica
Ventura,Santa Paula
Sonoma,Santa Rosa
San Diego,Santee
Santa Clara,Saratoga
Marin,Sausalito
Santa Cruz,Scotts Valley
Orange,Seal Beach
Monterey,Seaside
Sonoma,Sebastopol
Fresno,Selma
Kern,Shafter
Los Angeles,Sierra Madre
Los Angeles,Signal Hill
Ventura,Simi Valley
San Diego,Solana Beach
Monterey,Soledad
Santa Barbara,Solvang
Sonoma,Sonoma
Tuolumne,Sonora
Los Angeles,South El Monte
Los Angeles,South Gate
El Dorado,South Lake Tahoe
Los Angeles,South Pasadena
San Mateo,South San Francisco
Napa,St. Helena
Orange,Stanton
San Joaquin,Stockton
Solano,Suisun City
Santa Clara,Sunnyvale
Lassen,Susanville
Amador,Sutter Creek
Kern,Taft
Kern,Tehachapi
Tehama,Tehama
Riverside,Temecula
Los Angeles,Temple City
Ventura,Thousand Oaks
Marin,Tiburon
Los Angeles,Torrance
San Joaquin,Tracy
Humboldt,Trinidad
Tulare,Tulare
Siskiyou,Tulelake
Stanislaus,Turlock
Orange,Tustin
San Bernardino,Twentynine Palms
Mendocino,Ukiah
Alameda,Union City
San Bernardino,Upland
Solano,Vacaville
Solano,Vallejo
Ventura,Ventura
Los Angeles,Vernon
San Bernardino,Victorville
Orange,Villa Park
Tulare,Visalia
San Diego,Vista
Los Angeles,Walnut
Contra Costa,Walnut Creek
Kern,Wasco
Stanislaus,Waterford
Santa Cruz,Watsonville
Siskiyou,Weed
Los Angeles,West Covina
Los Angeles,West Hollywood
Yolo,West Sacramento
Los Angeles,Westlake Village
Orange,Westminster
Imperial,Westmorland
Yuba,Wheatland
Los Angeles,Whittier
Colusa,Williams
Mendocino,Willits
Glenn,Willows
Yolo,Winters
Tulare,Woodlake
Yolo,Woodland
San Mateo,Woodside
Orange,Yorba Linda
Napa,Yountville
Siskiyou,Yreka
Sutter,Yuba City
San Bernardino,Yucaipa
