provider,ntd_id,voms,upt,contact_city,service_county,url,gtfs,gtfs_rt_service_alerts,gtfs_rt_trip_updates,gtfs_rt_vehicle_locations
Shafter Dial-A-Ride,91120,,,Shafter,Kern,https://www.shafter.com/148/Transit,,,,
Shasta Regional Transit Agency,,,,Redding,Shasta,https://www.srta.ca.gov/,,,,
Sierra County Transportation Commission,91038,,,Downieville,Sierra,https://www.sierracounty.ca.gov/410/Transit,,,,
Sierra Madre Gateway Coach,,,,Sierra Madre,Los Angeles,http://www.cityofsierramadre.com/services/transportation/gateway_coach,,,,
Signal Hill Dial-a-Taxi,,,,Signal Hill,Los Angeles,https://www.cityofsignalhill.org/260/Dial-a-Taxi-Dial-a-Lift,,,,
Simi Valley Transit,90050,,,Simi Valley,Ventura,https://www.simivalley.org/departments/community-services/simi-valley-transit,https://transitfeeds.com/p/simi-valley-transit/905/latest/download,,,
Siskiyou Transit and General Express,91048,,,Yreka,Siskiyou,https://www.co.siskiyou.ca.us/generalservices/page/stage-siskiyou-transit-and-general-express,https://transitfeeds.com/p/siskiyou-transit-and-general-express/492/latest/download,,,
SolTrans,90232,30,109718,Vallejo,"Solano, Contra Costa",http://www.soltransride.com/,https://transitfeeds.com/p/soltrans/666/latest/download,,,
SolanoExpress,,,,Suisun City,Solano,https://www.solanoexpress.com/,,,,
Sonoma County Airport Express,,,,Santa Rosa,Sonoma,http://airportexpressinc.com/,,,,
Sonoma County Transit,90089,45,75490,Santa Rosa,Sonoma,http://www.sctransit.com/,https://transitfeeds.com/p/sonoma-county-transit/419/latest/download,,,
Sonoma-Marin Area Rail Transit,90299,10,71974,Petaluma,"Sonoma, Marin",www.sonomamarintrain.org,https://transitfeeds.com/p/sonoma-marin-area-rail-transit/1050/latest/download,,,
South County Area Transit,,,,San Luis Obispo,San Luis Obispo,http://www.slorta.org/about-rta/south-county-transit-sct/,,,,
South County Transit Link,90216,,,Galt,"Sacramento, San Joaquin",http://www.sctlink.com/,,,,
South El Monte Senior Transportation,,,,South El Monte,Los Angeles,http://www.ci.south-el-monte.ca.us/CITYDEPARTMENTSSERVICES/CommunityServices/SeniorServices.aspx,,,,
South Pasadena Dial-A-Ride,90292,,,South Pasadena,Los Angeles,http://www.southpasadenaca.gov/index.aspx?page=104,,,,
Spirit Bus,90286,,,Monterey Park,Los Angeles,http://www.montereypark.ca.gov/546/Transportation-Services,https://transitfeeds.com/p/spirit-bus/757/latest/download,,,
Stanislaus Regional Transit,90236,,,Modesto,Stanislaus,http://www.srt.org/,https://transitfeeds.com/p/stanislaus-regional-transit/493/latest/download,,,
SunLine Transit Agency,90079,62,353101,Thousand Palms,Riverside,http://www.sunline.org/,https://transitfeeds.com/p/sunline-transit-agency/348/latest/download,,,
Sunshine Bus(South Whittier),90276,,,Whittier (could also be Alhambra),Los Angeles,https://dpw.lacounty.gov/transit/SWSunshineShuttle.aspx,,,,
Susanville Indian Rancheria Public Transportation Program,99256,,,Susanville,Lassen,http://www.sir-nsn.gov/event/new-transportation-bus-schedule/,,,,
TRACER,90197,,,Tracy,San Joaquin,https://www.ci.tracy.ca.us/?navid=193,,,,
Taft Area Transit,91066,,,Taft,Kern,http://www.cityoftaft.org/pView.aspx?id=5385&catid=562,,,,
Tahoe Transportation,,,,"Stateline, NV",Douglas (NV),http://tahoetransportation.org/blog/category/bluego/,,,,
Tahoe Truckee Area Regional Transportation,,,,Truckee,"Nevada, Placer",https://tahoetruckeetransit.com/,https://transitfeeds.com/p/tahoe-area-regional-transit/389/latest/download,,,
Tehachapi Dial-A-Ride,91074,,,Tehachapi,Kern,http://www.liveuptehachapi.com/158/Tehachapi-Bus-Information,,,,
Tehama Rural Area eXpress,91089,,,Red Bluff,Tehama,http://www.taketrax.com/,https://transitfeeds.com/p/tehama-rural-area-express/494/latest/download,,,
The Breeze Bus,90087,20,49895,Santa Maria,Santa Barbara,http://www.breezebus.com/,,,,
Thousand Oaks Transit,90165,,,Thousand Oaks,Ventura,https://www.toaks.org/departments/public-works/transit,https://transitfeeds.com/p/thousand-oaks-transit/685/latest/download,,,
Tideline,,,,Tiburon,San Francisco,https://tidelinetickets.com/,https://transitfeeds.com/p/tideline-water-taxi/756/latest/download,,,
Torrance Transit System,90010,48,308986,Torrance,Los Angeles,http://Transit.TorranceCA.Gov/,https://transitfeeds.com/p/city-of-torrance/388/latest/download,,,
Town of Truckee,91101,,,Truckee,Nevada,https://www.townoftruckee.com/government/engineering-and-public-works/public-transportation,,,,
Tri Delta Transit,90162,52,128427,Antioch,Contra Costa,http://www.trideltatransit.com/,https://transitfeeds.com/p/tri-delta-transit/1148/latest/download,,,
Tri-Valley Wheels,90144,49,157780,Livermore,Alameda,http://www.wheelsbus.com/,https://transitfeeds.com/p/livermore-amador-valley-transit-authority/701/latest/download,,,
Trinity Transit,91035,,,Weaverville,Trinity,http://trinitytransit.org/,https://transitfeeds.com/p/trinity-county-transportation-commission/428/latest/download,,,
Tulare County Area Transit,91055,,,Visalia,Tulare,https://tularecounty.ca.gov/rma/index.cfm/tulare-county-area-transit-tcat/,,,,
Tulare InterModal Express,90244,7,23231,Tulare,Tulare,http://www.ci.tulare.ca.us/local_government/departments/administrative_services/transit.htm/,,,,
Tule River Indian Tribe,99370,,,Porterville,Tulare,tulerivertribe-nsn.gov/,,,,
Tuolumne County Transit,91057,,,Sonora,Tuolumne,http://www.tuolumnecountytransit.com/,,,,
Turlock Transit,90201,6,16159,Turlock,Stanislaus,www.turlocktransit.com,,,,
UC San Diego Campus Shuttles,,,,La Jolla,San Diego,http://transportation.ucsd.edu/shuttles/index.html,,,,
USC Transportation,,,,Los Angeles,Los Angeles,http://transnet.usc.edu/index.php/bus-map-schedules/,,,,
USDA Forest Service Southwest Region,,,,Vallejo,Solano,https://www.fs.usda.gov/detail/r5/workingtogether/?cid=STELPRDB5373419,,,,
Union City Transit,90161,,,Union City,Alameda,http://www.uctransit.org/,,,,
Unitrans,90142,37,472086,Davis,Yolo,http://www.unitrans.com/,https://transitfeeds.com/p/unitrans/301/latest/download,,,
V-LINE,,,,Visalia,"Tulare, Fresno",https://ridevline.com/,,,,
Vacaville City Coach,90155,,,Vacaville,Solano,http://www.citycoach.com/,https://transitfeeds.com/p/city-coach/1141/latest/download,,,
Valley Express,,,,Santa Paula,Ventura,http://www.valleyexpressbus.org/,,,,
Ventura County Transportation Commission,90164,35,55006,Ventura,Ventura,https://www.goventura.org/,https://transitfeeds.com/p/ventura-county-transportation-commission/792/latest/download,,,
Victor Valley Transit,90148,53,134390,Hesperia,San Bernardino,http://www.vvta.org/,https://transitfeeds.com/p/victor-valley-transit-authority/350/latest/download,,,
Vine Transit,90088,33,77995,Napa,"Napa, Solano, Contra Costa",http://www.ridethevine.com/,https://transitfeeds.com/p/napa-vine/1268/latest/download,,,
Visalia Transit,90091,28,89536,Visalia,Tulare,http://www.visaliatransit.com/,,,,
Walnut Way Dial-a-Cab,,,,Walnut,Los Angeles,http://www.cityofwalnut.org/for-residents/community-resources/transportation/dial-a-cab,,,,
Wasco,99426,,,Wasco,Kern,http://www.ci.wasco.ca.us/residents/transportation/,,,,
West Berkeley Shuttle,,,,Berkeley,Alameda,http://westberkeleyshuttle.net/,,,,
West Hollywood Transit Service,90294,,,West Hollywood,Los Angeles,https://www.weho.org/services/public-transportation-transit-options,,,,
WestCAT,90159,49,101290,Pinole,Contra Costa,http://www.westcat.org/,https://transitfeeds.com/p/westcat/682/latest/download,,,
Westminster on Wheels Senior Transportation Program,,,,Westminster,Orange,http://www.ci.westminster.ca.us/depts/cs/senior/transportation.asp,,,,
Whittier Demand Response,90277,,,Whittier,Los Angeles,https://dpw.lacounty.gov/transit/DAR.aspx#pageTitle,,,,
Whittier Dial-A-Ride,90295,,,Whittier,Los Angeles,https://www.whittierprcs.org/transit/dial-a-ride-and-dar-plus,,,,
Willowbrook Demand Response,90279,,,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/DAR.aspx#pageTitle,,,,
Woodlake Dial-A-Ride,91079,,,Woodlake,Tulare,http://www.cityofwoodlake.com/transportation/,,,,
Yolobus,90090,41,93589,Woodland,Yolo,http://www.yolobus.com/,https://transitfeeds.com/p/sacramento-regional-transit/161/latest/download,,,
Yorba Linda Taking Retired Adults Into Local Services,,,,Yorba Linda,Orange,https://www.yorbalindaca.gov/391/Senior-Mobility-ProgramTRAILS,,,,
Yosemite Area Regional Transportation System,91070,,,Merced,"Merced, Fresno, Mono, Tuolumne",http://www.YARTS.com,https://transitfeeds.com/p/yosemite-area-regional-transportation-system/155/latest/download,,,
Yuba-Sutter Transit Authority,90061,25,61555,Marysville,"Yuba, Sutter",http://www.yubasuttertransit.com/,https://transitfeeds.com/p/yuba-sutter-transit/154,,,
Yuma County Area Transit,,,,Yuma (AZ),"Yuma, AZ",https://www.ycipta.org/,,,,
Yurok Tribe Transit Service,99262,,,Klamath,Del Norte,https://www.yuroktribe.org/departments/planning/Transportation_Program.htm,,,,
e-Tran,90205,39,63786,Elk Grove,Sacramento,http://www.e-tran.org/,,,,
eTrans,91078,,,Escalon,San Joaquin,http://cityofescalon.org/cms/one.aspx?pageId=13056687,https://transitfeeds.com/p/city-of-escalon/601/latest/download,,,
the Link Florence-Firestone/Walnut Park,90273,,,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/TheLinkFlorenceFirestone.aspx,,,,
the Link King Medical Center,90274,,,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/TheLinkKingMedical.aspx,,,,
the Link Lennox,90275,,,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/TheLinkLennox.aspx,,,,
the Link Willowbrook,90278,,,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/TheLinkWillowbrook.aspx,,,,
the Link-Athens,90269,,,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/TheLinkAthens.aspx,,,,
