provider,ntd_id,voms_dr,voms,upt_dr,upt,fares_dr,fares,contact_city,service_county,url,gtfs,gtfs_rt_service_alerts,gtfs_rt_trip_updates,gtfs_rt_vehicle_locations
Colfax,,,,,,,,Colfax,Placer,http://colfax-ca.gov/,,,,
Sacramento International Airport,,,,,,,,Sacramento,Sacramento,http://www.sacairports.org/,,,,
San Luis Obispo Regional Transit Authority,90206,47,47,58242,1060551,194903,1439732,San Luis Obispo,San Luis Obispo,http://www.slorta.org/,https://transitfeeds.com/p/san-luis-obispo-rta/710/latest/download,,,
Hawthorne Dial-a-Ride Transportation,,,,,,,,Hawthorne,Los Angeles,http://www.cityofhawthorne.org/senior-activities,,,,
Oakland International Airport,,,,,,,,Oakland,Alameda,https://www.oaklandairport.com/,,,,
Metro,90154,0,17290,0,390933428,0,300042155,Los Angeles,Los Angeles,http://www.metro.net/,https://transitfeeds.com/p/la-metro/184/latest/download // https://transitfeeds.com/p/la-metro/677/latest/download,,,
Avalon Transit,90249,4,4,4139,43626,10068,90079,Avalon,Los Angeles,http://www.cityofavalon.com/content/3310/5078/default.aspx,https://transitfeeds.com/p/avalon-transit/951/latest/download,,,
Mariposa County Transit,9R02-91082,8,0,4265,0,45907,0,Mariposa,Mariposa,http://ca-mariposacounty.civicplus.com/422/Transportation,,,,
Glendora Transportation Division,90266,13,13,26026,36447,19145,27598,Glendora,Los Angeles,www.cityofglendora.org/transportation,,,,
Santa Rosa CityBus,90017,36,72,39814,1771874,119443,1416182,Santa Rosa,Sonoma,www.srcity.org/citybus,,,,
San Luis Obispo Council of Governments,,,,,,,,San Luis Obispo,San Luis Obispo,www.slocog.org,,,,
the Link King Medical Center,90274,0,2,0,71835,0,0,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/TheLinkKingMedical.aspx,,,,
Playa Vista Shuttle,,,,,,,,Playa Vista,Los Angeles,https://playavista.com/playa-vista-shuttle/,,,,
Simi Valley Transit,90050,17,17,43298,262024,117600,288787,Simi Valley,Ventura,https://www.simivalley.org/departments/community-services/simi-valley-transit,https://transitfeeds.com/p/simi-valley-transit/905/latest/download,,,
Barstow Area Transit,,,,,,,,Barstow,San Bernardino,http://www.barstowca.org/city-hall/city-departments/transportation/fares,,,,
USC Transportation,,,,,,,,Los Angeles,Los Angeles,http://transnet.usc.edu/index.php/bus-map-schedules/,,,,
Get Around Town Express,90291,14,14,144938,231645,78973,46162,South Gate,Los Angeles,http://www.cityofsouthgate.org/218/GATE-Get-Around-Town-Express,,,,
Madera Area Express,90199,17,17,32224,111564,21128,97935,Madera,Madera,https://www.cityofmadera.ca.gov/home/departments/transit/,,,,
El Dorado Transit,90229,34,68,48659,323385,516075,1001794,Diamond Springs,El Dorado,http://www.eldoradotransit.com/,https://transitfeeds.com/p/el-dorado-transit/680/latest/download,,,
Santa Clara Valley Transportation Authority,90013,1284,1926,530726,36980442,2043734,34510575,San Jose,"Santa Clara, Contra Costa",http://www.vta.org/,https://transitfeeds.com/p/vta/45/latest/download,,,https://transitfeeds.com/p/vta/932
the Link Lennox,90275,0,1,0,84218,0,13611,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/TheLinkLennox.aspx,,,,
Blue and Gold Fleet,,,,,,,,San Francisco,"Marin, San Francisco",https://www.blueandgoldfleet.com/,https://transitfeeds.com/p/blue-gold-fleet/824/latest/download,,,
Modesto Area Express,90007,126,63,97889,2589049,285085,2512594,Modesto,"Stanislaus, Alameda, San Joaquin",http://www.modestoareaexpress.com/,https://transitfeeds.com/p/modesto-area-express/1280/latest/download,,https://transitfeeds.com/p/modesto-area-express/928,
Go West Shuttle,90293,8,8,15945,47925,14509,45415,West Covina,Los Angeles,https://www.westcovina.org/departments/public-services-department/public-services-department-community-services-division/transit-services,,,,
Hill Hopper Shuttle,,,,,,,,Hayward,Alameda,https://www.ce.csueastbay.edu/about/locations/hayward.html,,,,
Porterville Transit,90198,13,13,13001,635648,20173,548406,Porterville,Tulare,http://www.portervilletransit.com/,,,,
Glendale Beeline,99423,34,34,45144,1504383,47953,798648,Glendale,Los Angeles,www.glendaleca.gov/government/departments/public-works/public-transportation/beeline-transit-system,https://transitfeeds.com/p/city-of-glendale/628/latest/download,,,
Menlo Park Shuttles,,,,,,,,Menlo Park,San Mateo,https://www.menlopark.org/156/Shuttle-services,,,,
Irvine Shuttle,,,,,,,,Irvine,Orange,https://www.cityofirvine.org/public-works-department/irvine-shuttle,,,,
Yurok Tribe Transit Service,99262,4,0,24193,0,9968,0,Klamath,Del Norte,https://www.yuroktribe.org/departments/planning/Transportation_Program.htm,,,,
Laguna Niguel Transportation Program,,,,,,,,Laguna Niguel,Orange,https://www.cityoflagunaniguel.org/243/Transportation-Services,,,,
La Mirada Transit,90024,7,0,42407,0,33988,0,La Mirada,Los Angeles,http://www.cityoflamirada.org/city-services/transit,,,,
East Los Angeles Shuttle,90271,13,13,18162,888127,7331,149806,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/ElSolShuttle.aspx,,,,
Pasadena Transit,99424,31,31,80378,1542871,50870,742820,Pasadena,Los Angeles,https://www.cityofpasadena.net/pasadena-transit/,https://transitfeeds.com/p/pasadena-transit/1053/latest/download,,https://transitfeeds.com/p/pasadena-transit/1054,
Willowbrook Demand Response,90279,3,0,6053,0,2610,0,Alhambra,Los Angeles,https://dpw.lacounty.gov/transit/DAR.aspx#pageTitle,,,,
Davis Community Transit,90167,3,0,18197,0,33531,0,Davis,Yolo,http://cityofdavis.org/city-hall/parks-and-community-services/davis-community-transit,,,,
Desert Roadrunner,,,,,,,,Blythe,Riverside,https://pvvta.com/,,,,
Foothill Transit,90146,0,296,0,12543650,0,16343392,West Covina,Los Angeles,http://www.foothilltransit.org/,https://transitfeeds.com/p/foothill-transit/506/latest/download,,,
West Hollywood Transit Service,90294,10,10,17065,85874,0,0,West Hollywood,Los Angeles,https://www.weho.org/services/public-transportation-transit-options,,,,
